page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     638   466  rgb     3   8  jpeg   no      4553  0   770   771 18.4K 2.1%
   1     1 image       1     1  rgb     3   8  image  no      4554  0   116   116   11B 367%
   1     2 smask       1     1  gray    1   8  image  no      4554  0   116   116    9B 900%
   1     3 image       1     1  rgb     3   8  image  no      4554  0   116   116   11B 367%
   1     4 smask       1     1  gray    1   8  image  no      4554  0   116   116    9B 900%
   1     5 image       1     1  rgb     3   8  image  no      4554  0   116   116   11B 367%
   1     6 smask       1     1  gray    1   8  image  no      4554  0   116   116    9B 900%
   1     7 image       1     1  rgb     3   8  image  no      4554  0   116   116   11B 367%
   1     8 smask       1     1  gray    1   8  image  no      4554  0   116   116    9B 900%
   1     9 image       1     1  rgb     3   8  image  no      4554  0   116   116   11B 367%
   1    10 smask       1     1  gray    1   8  image  no      4554  0   116   116    9B 900%
   8    11 image     294   114  rgb     3   8  jpeg   no      4561  0   116   116 4703B 4.7%
   9    12 image     294   114  rgb     3   8  jpeg   no      4562  0   116   116 4703B 4.7%
  15    13 image     129    29  rgb     3   8  image  no      4563  0   116   116  545B 4.9%
  15    14 image     151    33  rgb     3   8  image  no      4564  0   116   116  660B 4.4%
  15    15 image      46    34  rgb     3   8  image  no      4565  0   116   116  350B 7.5%
  15    16 image      49    35  rgb     3   8  image  no      4566  0   116   116  392B 7.6%
  15    17 image     113    20  rgb     3   8  image  no      4567  0   116   116  505B 7.4%
  15    18 image      94    22  rgb     3   8  image  no      4568  0   116   116  387B 6.2%
  16    19 image      50    35  rgb     3   8  image  no      4569  0   116   116  353B 6.7%
  16    20 image      36    34  rgb     3   8  image  no      4570  0   116   116  281B 7.7%
  16    21 image      55    32  rgb     3   8  image  no      4571  0   116   116  298B 5.6%
  16    22 image      55    32  rgb     3   8  image  no      4571  0   116   116  298B 5.6%
  16    23 image      56    34  rgb     3   8  image  no      4572  0   116   116  293B 5.1%
  16    24 image      56    34  rgb     3   8  image  no      4572  0   116   116  293B 5.1%
  16    25 image      58    38  rgb     3   8  image  no      4573  0   116   116  298B 4.5%
  17    26 image      58    38  rgb     3   8  image  no      4574  0   116   116  298B 4.5%
  17    27 image      55    34  rgb     3   8  image  no      4575  0   116   116  288B 5.1%
  17    28 image      55    34  rgb     3   8  image  no      4575  0   116   116  288B 5.1%
  18    29 image      57    35  rgb     3   8  image  no      4576  0   116   116  319B 5.3%
  18    30 image      57    35  rgb     3   8  image  no      4576  0   116   116  319B 5.3%
  18    31 image      62    34  rgb     3   8  image  no      4577  0   116   116  320B 5.1%
  18    32 image      62    34  rgb     3   8  image  no      4577  0   116   116  320B 5.1%
  18    33 image      50    37  rgb     3   8  image  no      4578  0   116   116  274B 4.9%
  18    34 image      50    37  rgb     3   8  image  no      4578  0   116   116  274B 4.9%
  18    35 image      47    34  rgb     3   8  image  no      4579  0   116   116  272B 5.7%
  18    36 image      47    34  rgb     3   8  image  no      4579  0   116   116  272B 5.7%
  19    37 image      47    20  rgb     3   8  image  no      4580  0   116   116  243B 8.6%
  19    38 image      47    20  rgb     3   8  image  no      4580  0   116   116  243B 8.6%
  19    39 image      40    19  rgb     3   8  image  no      4581  0   116   116  216B 9.5%
  19    40 image      40    19  rgb     3   8  image  no      4581  0   116   116  216B 9.5%
  19    41 image      58    18  rgb     3   8  image  no      4582  0   116   116  264B 8.4%
  19    42 image      58    18  rgb     3   8  image  no      4582  0   116   116  264B 8.4%
  19    43 image      57    24  rgb     3   8  image  no      4583  0   116   116  245B 6.0%
  19    44 image      57    24  rgb     3   8  image  no      4583  0   116   116  245B 6.0%
  20    45 image      62    20  rgb     3   8  image  no      4584  0   116   116  249B 6.7%
  20    46 image      62    20  rgb     3   8  image  no      4584  0   116   116  249B 6.7%
  20    47 image      61    21  rgb     3   8  image  no      4585  0   116   116  248B 6.5%
  21    48 image      61    21  rgb     3   8  image  no      4586  0   116   116  248B 6.5%
  21    49 image      61    16  rgb     3   8  image  no      4587  0   116   116  218B 7.4%
  21    50 image      61    16  rgb     3   8  image  no      4587  0   116   116  218B 7.4%
  21    51 image      55    19  rgb     3   8  image  no      4588  0   116   116  217B 6.9%
  21    52 image      55    19  rgb     3   8  image  no      4588  0   116   116  217B 6.9%
  21    53 image      52    19  rgb     3   8  image  no      4589  0   116   116  240B 8.1%
  21    54 image      52    19  rgb     3   8  image  no      4589  0   116   116  240B 8.1%
  21    55 image      50    20  rgb     3   8  image  no      4590  0   116   116  243B 8.1%
  21    56 image      50    20  rgb     3   8  image  no      4590  0   116   116  243B 8.1%
  21    57 image      53    20  rgb     3   8  image  no      4591  0   116   116  266B 8.4%
  21    58 image      53    20  rgb     3   8  image  no      4591  0   116   116  266B 8.4%
  21    59 image      45    22  rgb     3   8  image  no      4592  0   116   116  240B 8.1%
  21    60 image      45    22  rgb     3   8  image  no      4592  0   116   116  240B 8.1%
  24    61 image     511    20  rgb     3   8  image  no      4593  0   116   116 1619B 5.3%
  25    62 image     510    24  rgb     3   8  image  no      4594  0   116   116 1745B 4.8%
  25    63 image     166    18  rgb     3   8  image  no      4595  0   116   116  588B 6.6%
  25    64 image     191    21  rgb     3   8  image  no      4596  0   116   116  624B 5.2%
  25    65 image     445    17  rgb     3   8  image  no      4597  0   116   116 1263B 5.6%
  25    66 image     476    19  rgb     3   8  image  no      4598  0   116   116 1350B 5.0%
  25    67 image     168    15  rgb     3   8  image  no      4599  0   116   116  602B 8.0%
  25    68 image     198    21  rgb     3   8  image  no      4600  0   116   116  718B 5.8%
  26    69 image     398    21  rgb     3   8  image  no      4601  0   116   116 1370B 5.5%
  26    70 image     381    24  rgb     3   8  image  no      4602  0   116   116 1502B 5.5%
